predictiondate;wind_speed;wind_gust;wind_direction;temp;precipitation;lightning_risk;measured_wind_speed;measured_wind_direction;availability;measured_wind_gust;Power
01/03/2016 01:00;3.9;NULL;78.8;1.99;0;NULL;4.73;36.0267;1;NULL;NULL
01/03/2016 02:00;4;NULL;82.9;1.59;0;NULL;4.0867;60.9067;1;NULL;NULL
01/03/2016 03:00;3.9;NULL;89.6;1.14;0;NULL;3.3933;89.26;1;NULL;NULL
01/03/2016 04:00;3.7;NULL;94.2;0.68;0;NULL;3.9733;66.09;1;NULL;NULL
01/03/2016 05:00;3.5;NULL;97.4;0.27;0;NULL;2.7567;39.3533;1;NULL;NULL
01/03/2016 06:00;3.2;NULL;98.6;-0.12;0;NULL;3.13;41.7033;1;NULL;NULL
01/03/2016 07:00;2.9;NULL;96.8;-0.45;0;NULL;1.7367;25.5233;1;NULL;NULL
01/03/2016 08:00;2.6;NULL;95.4;1.55;0;NULL;2.0333;35.56;1;NULL;NULL
01/03/2016 09:00;1.7;NULL;79.3;6.01;0;NULL;2.6067;236.82;1;NULL;NULL
01/03/2016 10:00;1;NULL;71.2;7.64;0;NULL;2.8967;348.037;1;NULL;NULL
01/03/2016 11:00;0.8;NULL;32.2;9.73;0;NULL;2.9533;348.63;1;NULL;NULL
01/03/2016 12:00;1.4;NULL;359.2;11.26;0;NULL;3.5733;341.277;1;NULL;NULL
01/03/2016 13:00;1.5;NULL;333.6;12.4;0;NULL;2.6467;337.453;1;NULL;NULL
01/03/2016 14:00;2.1;NULL;326.5;13.31;0;NULL;2.21;334.46;1;NULL;NULL
01/03/2016 15:00;2.6;NULL;321.9;13.78;0;NULL;2.06;310.76;1;NULL;NULL
01/03/2016 16:00;3.2;NULL;316.9;13.67;0;NULL;2.0925;219.673;1;NULL;NULL
01/03/2016 17:00;3.5;NULL;312.5;12.76;0;NULL;3.405;295.962;1;NULL;NULL
01/03/2016 18:00;4.4;NULL;305.9;9.74;0;NULL;4.475;250.705;1;NULL;NULL
